,nominal age,N,A95,PLONG,PLAT,SLONG,SLAT,ROCKNAME,Plate_ID
570,570,3,66.58598277989324,307.66469407040637,24.25363713952349,267.9,46.8,570 running mean,1000
580,580,4,51.92244511087191,313.45202654701797,27.447915047773876,267.9,46.8,580 running mean,1000
590,590,2,180.0,326.77301822220545,4.21999998157434,267.9,46.8,590 running mean,1000
720,720,1,0.0,162.1,6.7,267.9,46.8,720 running mean,1000
730,730,1,0.0,162.1,6.7,267.9,46.8,730 running mean,1000
770,770,3,28.012992231945415,142.90296404784456,5.57855247376539,267.9,46.8,770 running mean,1000
780,780,3,28.012992231945415,142.90296404784456,5.57855247376539,267.9,46.8,780 running mean,1000
1070,1070,2,11.95742985859006,178.55182234628674,4.900150391874511,267.9,46.8,1070 running mean,1000
1080,1080,6,8.915292589608077,180.05860727667056,15.513409143149723,267.9,46.8,1080 running mean,1000
1090,1090,10,5.60099202078215,181.91202469739764,24.407492630310873,267.9,46.8,1090 running mean,1000
1100,1100,13,7.520205698528613,196.91825246799638,37.57101354159741,267.9,46.8,1100 running mean,1000
1110,1110,7,7.682546249992967,209.77434020571383,42.87857475130055,267.9,46.8,1110 running mean,1000
1140,1140,2,22.617506878524992,218.97684000024432,53.46281389979514,267.9,46.8,1140 running mean,1000
1150,1150,3,18.41553914952593,220.0029851228481,47.255398172148084,267.9,46.8,1150 running mean,1000
1160,1160,3,11.82656126877963,215.9286218854535,41.25025634635157,267.9,46.8,1160 running mean,1000
1170,1170,3,11.82656126877963,215.9286218854535,41.25025634635157,267.9,46.8,1170 running mean,1000
1180,1180,2,19.01158081046905,210.79492861993785,34.80550686281873,267.9,46.8,1180 running mean,1000
1190,1190,3,7.133018225267505,210.49723420041676,33.815343525092125,267.9,46.8,1190 running mean,1000
1230,1230,2,20.306595630448363,193.3902002880919,2.0902385838500854,267.9,46.8,1230 running mean,1000
1240,1240,3,12.034273495424799,192.1531546336523,5.560071125644242,267.9,46.8,1240 running mean,1000
1260,1260,1,0.0,190.0,4.0,267.9,46.8,1260 running mean,1000
1270,1270,3,10.861161638554439,189.0194497750442,9.432343222319261,267.9,46.8,1270 running mean,1000
1280,1280,2,23.14859682478618,188.51704943863592,12.155923598764808,267.9,46.8,1280 running mean,1000
1380,1380,1,0.0,215.300003,-19.200001,267.9,46.8,1380 running mean,1000
1390,1390,1,0.0,215.300003,-19.200001,267.9,46.8,1390 running mean,1000
1400,1400,1,0.0,208.300003,-13.5,267.9,46.8,1400 running mean,1000
1410,1410,1,0.0,208.300003,-13.5,267.9,46.8,1410 running mean,1000
1420,1420,2,43.03837871528383,209.36369617301617,-6.512049167568728,267.9,46.8,1420 running mean,1000
1430,1430,2,43.03837871528383,209.36369617301617,-6.512049167568728,267.9,46.8,1430 running mean,1000
1440,1440,4,18.22917402408738,214.90388669759028,-13.032009073083774,267.9,46.8,1440 running mean,1000
1450,1450,5,15.339638960103947,215.05102930284335,-13.313683103697556,267.9,46.8,1450 running mean,1000
1460,1460,2,53.30464419745368,216.54817420101776,-13.151928505631197,267.9,46.8,1460 running mean,1000
1470,1470,2,25.98309984790777,218.2400873837106,-7.350622750489056,267.9,46.8,1470 running mean,1000
1480,1480,1,0.0,219.0,-13.2,267.9,46.8,1480 running mean,1000
1580,1580,1,0.0,245.0,9.0,267.9,46.8,1580 running mean,1000
1590,1590,1,0.0,245.0,9.0,267.9,46.8,1590 running mean,1000
1600,1600,1,0.0,245.0,9.0,267.9,46.8,1600 running mean,1000
1740,1740,1,0.0,276.700012,19.4,267.9,46.8,1740 running mean,1000
1750,1750,2,27.579028616560066,270.6067950645741,21.96631783552307,267.9,46.8,1750 running mean,1000
1760,1760,2,180.0,267.7529480950902,46.02443532128701,267.9,46.8,1760 running mean,1000
