,age,latitude,longitude
0,1099.0,34.2102881029,140.546448954
1,1098.0,33.5171406179,140.547516053
2,1097.0,32.8240024441,140.543095196
3,1096.0,32.1309035074,140.533313965
4,1095.0,31.4378730749,140.518292359
5,1094.0,30.7449398126,140.498143178
6,1093.0,30.0521318395,140.472972379
7,1092.0,29.3594767789,140.442879421
8,1091.0,28.6670018073,140.40795757
9,1090.0,27.9747337002,140.368294196
10,1089.0,27.2826988761,140.323971044
11,1088.0,26.590923438,140.27506449
12,1087.0,25.8994332132,140.221645776
13,1086.0,25.2082537916,140.163781233
14,1085.0,24.5174105614,140.101532488
15,1084.0,23.8269287448,140.034956657
16,1083.0,23.1368334311,139.964106523
17,1082.0,22.4471496091,139.889030708
18,1081.0,21.7579021986,139.809773826
19,1080.0,21.0691160806,139.726376632
20,1079.0,20.3808161266,139.638876155
21,1078.0,19.6930272272,139.547305829
22,1077.0,19.0057743202,139.451695609
23,1076.0,18.3190824174,139.352072081
24,1075.0,17.6329766319,139.248458566
25,1074.0,16.9474822038,139.140875212
26,1073.0,16.2626245263,139.029339088
27,1072.0,15.5784291709,138.913864258
28,1071.0,14.8949219127,138.794461865
29,1070.0,14.2121287553,138.671140195
30,1069.0,13.5300759557,138.543904744
31,1068.0,12.8487900487,138.412758279
32,1067.0,12.1682978713,138.277700888
33,1066.0,11.4886265879,138.138730036
34,1065.0,10.8098037142,137.995840606
35,1064.0,9.70202552174,138.505792762
36,1063.0,8.5899422354,139.004320175
37,1062.0,7.47373279235,139.491861134
38,1061.0,6.35356732641,139.968835668
39,1060.0,5.22960766855,140.435646358
40,1059.0,4.10200781718,140.892679117
41,1058.0,2.97091438029,141.34030395
42,1057.0,1.83646699082,141.778875694
43,1056.0,0.698798697063,142.208734718
44,1055.0,-0.441963670542,142.63020761
45,1054.0,-1.58569915467,143.043607831
46,1053.0,-2.73229234715,143.449236342
47,1052.0,-3.88163308436,143.84738221
48,1051.0,-5.03361616099,144.238323188
49,1050.0,-6.18814106078,144.622326271
50,1049.0,-7.34469087406,144.999430626
51,1048.0,-8.50358897131,145.370116065
52,1047.0,-9.66474767926,145.734620235
53,1046.0,-10.8280830757,146.093172055
54,1045.0,-11.9935147917,146.445992177
55,1044.0,-13.1609658248,146.793293412
56,1043.0,-14.3303623633,147.135281149
57,1042.0,-15.5016336209,147.47215376
58,1041.0,-16.6747116802,147.804102987
59,1040.0,-17.8495313456,148.131314315
60,1039.0,-19.026030004,148.453967338
61,1038.0,-20.204147494,148.772236112
62,1037.0,-21.3838259814,149.086289498
63,1036.0,-22.5650098428,149.396291501
64,1035.0,-23.7476455543,149.702401599
65,1034.0,-24.931681587,150.004775069
66,1033.0,-26.117068308,150.303563313
67,1032.0,-27.3037578866,150.598914178
68,1031.0,-28.4917042053,150.890972279
69,1030.0,-29.6808627759,151.179879328
70,1029.0,-30.8711906592,151.465774464
71,1028.0,-32.0626463896,151.748794594
72,1027.0,-33.2551899029,152.029074746
73,1026.0,-34.448782468,152.306748431
74,1025.0,-35.6433866215,152.581948033
75,1024.0,-36.8389661062,152.854805214
76,1023.0,-38.0354858114,153.125451355
77,1022.0,-39.2329117171,153.394018023
78,1021.0,-40.4312108397,153.660637492
79,1020.0,-41.6303511803,153.925443303
80,1019.0,-42.8303016758,154.188570896
81,1018.0,-44.0310321507,154.450158313
82,1017.0,-45.2325132714,154.710346989
83,1016.0,-46.4347165023,154.969282656
84,1015.0,-47.6376140622,155.227116374
85,1014.0,-47.6158384333,155.079910143
86,1013.0,-47.594593497,154.9325939
87,1012.0,-47.5738797853,154.785170451
88,1011.0,-47.5536978169,154.637642599
89,1010.0,-47.5340480968,154.49001314
90,1009.0,-47.514931117,154.342284869
91,1008.0,-47.4963473561,154.194460576
92,1007.0,-47.4782972793,154.046543045
93,1006.0,-47.4607813383,153.89853506
94,1005.0,-47.4437999717,153.750439397
95,1004.0,-47.4273536044,153.602258834
96,1003.0,-47.4114426482,153.453996141
97,1002.0,-47.3960675011,153.305654086
98,1001.0,-47.3812285482,153.157235435
99,1000.0,-47.3669261607,153.008742951
100,999.0,-47.3525800646,152.860455032
101,998.0,-47.3387692572,152.712095985
102,997.0,-47.3254940829,152.563668551
103,996.0,-47.3127548727,152.41517547
104,995.0,-47.3005519442,152.266619479
105,994.0,-47.2888856017,152.118003312
106,993.0,-47.2777561361,151.969329702
107,992.0,-47.2671638249,151.820601379
108,991.0,-47.2571089321,151.671821071
109,990.0,-47.2475917085,151.522991504
110,989.0,-47.2386123913,151.374115401
111,988.0,-47.2301712044,151.225195486
112,987.0,-47.2222683584,151.076234479
113,986.0,-47.2149040501,150.927235099
114,985.0,-47.2080784633,150.778200063
115,984.0,-47.2017917681,150.629132089
116,983.0,-47.1960441212,150.480033892
117,982.0,-47.1908356659,150.330908185
118,981.0,-47.1861665322,150.181757681
119,980.0,-47.1820368363,150.032585093
120,979.0,-47.1784466813,149.883393131
121,978.0,-47.1753961567,149.734184507
122,977.0,-47.1728853385,149.58496193
123,976.0,-47.1709142893,149.435728109
124,975.0,-47.1694830583,149.286485754
125,974.0,-47.1685916811,149.137237573
126,973.0,-47.16824018,148.987986275
127,972.0,-47.1684285637,148.838734567
128,971.0,-47.1691568275,148.689485159
129,970.0,-47.1704249534,148.540240758
130,969.0,-47.1722329095,148.391004074
131,968.0,-47.174580651,148.241777814
132,967.0,-47.1774681192,148.092564688
133,966.0,-47.1808952422,147.943367407
134,965.0,-47.1848619345,147.794188679
135,964.0,-47.1893680973,147.645031217
136,963.0,-47.1944136181,147.495897732
137,962.0,-47.1999983712,147.346790937
138,961.0,-47.2061222174,147.197713545
139,960.0,-47.2127850039,147.048668272
140,959.0,-47.2199865647,146.899657832
141,958.0,-47.2277267202,146.750684945
142,957.0,-47.2360052774,146.601752327
143,956.0,-47.24482203,146.452862701
144,955.0,-47.254176758,146.304018786
145,954.0,-47.2640692283,146.155223308
146,953.0,-47.2744991943,146.006478991
147,952.0,-47.2854663958,145.857788563
148,951.0,-47.2969705594,145.709154753
149,950.0,-47.3090113984,145.560580292
150,949.0,-47.3215886124,145.412067916
151,948.0,-47.3347018878,145.263620359
152,947.0,-47.3483508978,145.11524036
153,946.0,-47.362535302,144.966930662
154,945.0,-47.3772547466,144.818694007
155,944.0,-47.3925088647,144.670533142
156,943.0,-47.4082972758,144.522450818
157,942.0,-47.4246195863,144.374449787
158,941.0,-47.4414753892,144.226532805
159,940.0,-47.4588642642,144.078702632
160,939.0,-47.0379135292,143.689194317
161,938.0,-46.6163712566,143.304128942
162,937.0,-46.1942630606,142.923367926
163,936.0,-45.7716137439,142.546777128
164,935.0,-45.3484473342,142.174226678
165,934.0,-44.92478712,141.805590813
166,933.0,-44.500655684,141.440747713
167,932.0,-44.0760749352,141.079579353
168,931.0,-43.6510661393,140.721971353
169,930.0,-43.225649948,140.367812838
170,929.0,-42.7998464263,140.016996304
171,928.0,-42.3736750796,139.669417486
172,927.0,-41.9471548782,139.324975233
173,926.0,-41.5203042819,138.983571392
174,925.0,-41.0931412628,138.645110689
175,924.0,-40.6656833272,138.309500619
176,923.0,-40.2379475363,137.976651343
177,922.0,-39.8099505269,137.646475583
178,921.0,-39.3817085298,137.318888528
179,920.0,-38.9532373886,136.993807736
180,919.0,-38.524552577,136.671153046
181,918.0,-38.0956692153,136.350846493
182,917.0,-37.6666020871,136.032812223
183,916.0,-37.2373656539,135.716976415
184,915.0,-36.8079740704,135.403267201
185,914.0,-36.378441198,135.091614598
186,913.0,-35.9487806192,134.781950433
187,912.0,-35.5190056494,134.474208275
188,911.0,-35.0891293505,134.168323372
189,910.0,-34.6591645419,133.864232588
190,909.0,-34.2291238127,133.561874342
191,908.0,-33.7990195323,133.261188549
192,907.0,-33.368863861,132.962116565
193,906.0,-32.9386687604,132.664601136
194,905.0,-32.5084460032,132.368586342
195,904.0,-32.0782071824,132.07401755
196,903.0,-31.6479637208,131.780841365
197,902.0,-31.2177268793,131.489005585
198,901.0,-30.7875077657,131.198459156
199,900.0,-30.3573173429,130.90915213
200,899.0,-29.8373982756,130.349102054
201,898.0,-29.3099061982,129.801472474
202,897.0,-28.7750578321,129.266151808
203,896.0,-28.2330657633,128.743022382
204,895.0,-27.6841383886,128.231961246
205,894.0,-27.1284798799,127.732840937
206,893.0,-26.5662901639,127.245530195
207,892.0,-25.9977649176,126.769894649
208,891.0,-25.4230955763,126.305797442
209,890.0,-24.8424693548,125.853099831
210,889.0,-24.2560692786,125.411661735
211,888.0,-23.6640742259,124.981342252
212,887.0,-23.0666589785,124.562000135
213,886.0,-22.4639942797,124.153494233
214,885.0,-21.8562469002,123.755683899
215,884.0,-21.2435797097,123.368429367
216,883.0,-20.6261517539,122.991592096
217,882.0,-20.0041183362,122.625035088
218,881.0,-19.3776311034,122.268623181
219,880.0,-18.7468381349,121.92222331
220,879.0,-18.1118840344,121.585704752
221,878.0,-17.4729100244,121.258939348
222,877.0,-16.8300540423,120.941801703
223,876.0,-16.1834508382,120.634169363
224,875.0,-15.5332320736,120.335922989
225,874.0,-14.8795264209,120.046946498
226,873.0,-14.222459664,119.767127203
227,872.0,-13.5621547986,119.496355932
228,871.0,-12.8987321328,119.234527137
229,870.0,-12.2323093873,118.981538997
230,869.0,-11.5630017962,118.737293503
231,868.0,-10.890922206,118.50169654
232,867.0,-10.2161811757,118.274657958
233,866.0,-9.53888707504,118.056091643
234,865.0,-8.85914618269,117.845915569
235,864.0,-8.17706278355,117.64405186
236,863.0,-7.49273926539,117.450426833
237,862.0,-6.80627621469,117.264971052
238,861.0,-6.11777251169,117.087619363
239,860.0,-5.42732542477,116.918310942
240,859.0,-4.73503070399,116.756989328
241,858.0,-4.04098267404,116.603602463
242,857.0,-3.34527432644,116.458102726
243,856.0,-2.64799741121,116.320446974
244,855.0,-1.94924252795,116.190596571
245,854.0,-1.24909921645,116.068517428
246,853.0,-0.547656046931,115.954180041
247,852.0,0.154999290079,115.847559525
248,851.0,0.858779894063,115.748635658
249,850.0,1.56359956497,115.657392919
250,849.0,2.99804704145,115.769009727
251,848.0,4.43270861424,115.877978288
252,847.0,5.86757413331,115.984422323
253,846.0,7.30263403218,116.088458374
254,845.0,8.73787928534,116.190196312
255,844.0,10.1733013693,116.289739809
256,843.0,11.6088922272,116.387186766
257,842.0,13.0446442355,116.482629703
258,841.0,14.4805501747,116.57615612
259,840.0,15.9166032012,116.667848823
260,839.0,17.3527968221,116.757786225
261,838.0,18.7891248716,116.846042627
262,837.0,20.2255814895,116.932688462
263,836.0,21.6621611011,117.017790535
